#Release 14.4 - par P.49d (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Fri Jul 18 10:43:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cpme48_map.ncd
#OUTPUT FILE:      cpme48_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,DBUSout<12>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P3,IOout<4>,IOB,IO_L01N_3,TRISTATE,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P4,IR<0>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P5,IR<1>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P6,,IBUF,IP,UNUSED,,3,,,,,,,,,
P7,,,VCCAUX,,,,,,,,2.5,,,,
P8,IR<2>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P9,IR<3>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P10,,,GND,,,,,,,,,,,,
P11,IR<4>,IOB,IO_L04P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P12,IR<5>,IOB,IO_L04N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P13,,,VCCINT,,,,,,,,1.2,,,,
P14,,IBUF,IP,UNUSED,,3,,,,,,,,,
P15,IR<6>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P16,IR<7>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P17,,,GND,,,,,,,,,,,,
P18,IR<8>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P19,IR<9>,IOB,IO_L06N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
P20,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
P21,,,VCCO_3,,,3,,,,,2.50,,,,
P22,IR<10>,IOB,IO_L07P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,YES,NONE,
